date,rating
2018-08,0.47500000000000003
2018-07,0.225
2018-06,0.3
2018-05,0.19956366384937813
2018-04,0.18951318742985412
2018-03,0.22214185505852177
2018-02,0.2590787337662338
2018-01,0.3488636363636364
2017-12,0.19074074074074074
2017-11,0.0638095238095238
2017-10,0.15916666666666668
2017-09,0.22604166666666667
2017-08,0.18888888888888888
2017-07,0.15013888888888888
2017-06,0.34042207792207796
2017-05,0.2981570512820513
2017-04,0.21805555555555556
2017-03,0.20040640782828284
2017-02,0.3638888888888889
2017-01,0.46388888888888885
2016-12,0.2756944444444444
2016-11,0.32205687830687835
2016-10,0.24783775252525253
2016-09,0.18586647727272726
